serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein,vitamin_d,calcium,iron,potassium,item,retail_price,calc_calories
9 pieces (30g),160.0,12.0,4.5,0.0,2.5,10.0,15.0,1.0,12.0,3.0,0.0,50.0,0.8,110.0,Almond Candy Cane Chocolate,3.99,180.0
1 tbsp,40.0,0.5,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,"Almond Creamer, Cocoa Peppermint",3.99,36.5
2 tbsp (30g),80.0,7.0,0.5,0.0,0.0,330.0,3.0,2.0,0.5,3.0,0.0,0.0,0.0,70.0,"Almond Dip, Jalapeno Lime",3.99,87.0
0.1 pkg dry mix (22g),110.0,7.0,1.5,0.0,0.0,90.0,12.0,1.0,6.0,2.0,0.0,40.0,1.3,110.0,Almond Flour Chocolate Chip Cookie Baking Mix,3.99,119.0
7 cookies (29g),150.0,11.0,3.5,0.0,15.0,130.0,11.0,2.0,8.0,3.0,0.0,10.0,2.7,30.0,Almond Flour Double Chocolate Cookies,3.99,155.0
2 tortillas (50g),180.0,11.0,1.0,0.0,0.0,220.0,18.0,2.0,1.0,5.0,0.0,60.0,1.3,150.0,Almond Flour Tortillas,2.49,191.0
1 muffin,260.0,21.0,6.0,0.0,80.0,220.0,33.0,5.0,17.0,9.0,0.4,104.0,1.8,282.0,Almond Meal Muffins,3.99,357.0
1 ounce (28g),70.0,3.5,0.0,0.0,0.0,160.0,4.0,0.5,0.0,5.0,0.0,186.0,0.0,8.0,"Almond Mozzarella Style Shreds, Cheese Alternative",3.99,67.5
0.5 cup,50.0,1.5,0.0,0.0,0.0,65.0,9.0,0.0,8.0,0.5,1.2,220.0,0.1,20.0,Almond Nog,3.99,51.5
Unknown,117.95,3.55,0.0,0.0,0.0,2008.0,21.0,0.52,0.5,0.5,0.0,0.0,0.0,0.0,Almond Stuffed Meski Olives,3.99,117.95
2 cookies (28g),130.0,6.0,2.5,0.0,10.0,90.0,18.0,0.5,7.0,2.0,0.0,0.0,0.6,10.0,Almond Windmill Cookies,3.99,134.0
0.3 cup (30g),170.0,12.0,4.0,0.0,0.0,125.0,11.0,2.0,8.0,5.0,0.0,80.0,0.7,160.0,"Almonds, Almond Butter",4.99,172.0
1 bag (43g),210.0,14.0,1.5,0.0,0.0,65.0,19.0,3.0,12.0,5.0,0.0,40.0,1.4,200.0,"Almonds, Cashews & Cranberries Trek Mix",3.99,222.0
0.3 cup (33g),160.0,9.0,2.0,0.0,0.0,110.0,19.0,2.0,16.0,3.0,0.0,40.0,0.6,120.0,"Almonds, Coconut Flavored",2.99,169.0
0.3 cup (35g),190.0,15.0,1.0,0.0,0.0,160.0,11.0,4.0,4.0,6.0,0.0,0.0,0.0,285.0,"Almonds, Coffee Glazed",2.99,203.0
0.5 package (35g),180.0,13.0,5.0,0.0,0.0,0.0,16.0,3.0,11.0,4.0,0.0,40.0,2.3,170.0,"Almonds, Dark Chocolate Covered",0.99,197.0
0.3 cup (30g),180.0,16.0,1.0,0.0,0.0,65.0,6.0,3.0,2.0,6.0,0.0,0.0,0.0,200.0,"Almonds, Gochujang Flavored",1.99,192.0
1 slice (48g),120.0,0.5,0.0,0.0,0.0,350.0,25.0,1.0,0.5,5.0,0.0,20.0,1.0,50.0,Almost Everything Tuscan Pane,2.99,124.5
0.5 package (170g),200.0,8.0,1.0,0.0,0.0,510.0,27.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,Almost Sabich Pita Sandwich Kit,2.99,200.0
1 roll (28g),90.0,1.0,0.0,0.0,2.5,110.0,19.0,0.5,5.0,2.0,0.0,0.0,0.8,30.0,"Aloha Rolls, Sweet Pull Apart",3.49,93.0
2 tbsp (28g),25.0,2.0,0.0,0.0,0.0,150.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,30.0,Amba Mango Sauce,3.99,26.0
